°C	డిగ్రీ సెల్సియస్	డిగ్రీల సెల్సియస్
కి.మీ	కిలోమీటర్	కిలోమీటర్లు
మీ.	మీటర్	మీటర్లు
మీ	మీటర్	మీటర్లు
సెం.మీ.	సెంటీమీటర్	సెంటీమీటర్లు
సెం.మీ	సెంటీమీటర్	సెంటీమీటర్లు
మి.మీ.	మిల్లీమీటర్	మిల్లీమీటర్లు
మి.మీ	మిల్లీమీటర్	మిల్లీమీటర్లు
కి.గ్రా.	కిలోగ్రామ్	కిలోగ్రాములు
కి.గ్రా	కిలోగ్రామ్	కిలోగ్రాములు
గ్రా.	గ్రామ్	గ్రాములు
గ్రా	గ్రామ్	గ్రాములు
లీ.	లీటర్	లీటర్లు
లీ	లీటర్	లీటర్లు
మి.లీ.	మిల్లీలీటర్	మిల్లీలీటర్లు
మి.లీ	మిల్లీలీటర్	మిల్లీలీటర్లు
కి.మీ/గం	కిలోమీటర్ గంటకు	కిలోమీటర్లు గంటకు
కి.మీ./గం.	కిలోమీటర్ గంటకు	కిలోమీటర్లు గంటకు
చ.అ.	చదరపు అడుగు	చదరపు అడుగులు
చ.కి.మీ.	చదరపు కిలోమీటర్	చదరపు కిలోమీటర్లు
సె.	సెకను	సెకన్లు
ని.	నిమిషం	నిమిషాలు
గం.	గంట	గంటలు
