L	ലിറ്റർ	ലിറ്റർ
kl	കിലോലിറ്റർ	കിലോലിറ്റർ
ml	മില്ലിലിറ്റർ	മില്ലിലിറ്റർ
mL	മില്ലിലിറ്റർ	മില്ലിലിറ്റർ
dl	ഡെസിലിറ്റർ	ഡെസിലിറ്റർ
cl	സെന്റിലിറ്റർ	സെന്റിലിറ്റർ
gal	ഗാലൻ	ഗാലൻ
W	വാട്ട്	വാട്ട്
kW	കിലോവാട്ട്	കിലോവാട്ട്
KW	കിലോവാട്ട്	കിലോവാട്ട്
MW	മെഗാവാട്ട്	മെഗാവാട്ട്
kWh	കിലോവാട്ട് മണിക്കൂർ	കിലോവാട്ട് മണിക്കൂർ
V	വോൾട്ട്	വോൾട്ട്
A	ആമ്പിയർ	ആമ്പിയർ
J	ജൂൾ	ജൂൾ
kJ	കിലോജൂൾ	കിലോജൂൾ
Pa	പാസ്കൽ	പാസ്കൽ
N	ന്യൂട്ടൺ	ന്യൂട്ടൺ
Hz	ഹെർട്സ്	ഹെർട്സ്
kHz	കിലോഹെർട്സ്	കിലോഹെർട്സ്
KHz	കിലോഹെർട്സ്	കിലോഹെർട്സ്
MHz	മെഗാഹെർട്സ്	മെഗാഹെർട്സ്
GHz	ഗിഗാഹെർട്സ്	ഗിഗാഹെർട്സ്
Ω	ഓം	ഓം
dB	ഡെസിബെൽ	ഡെസിബെൽ
b	ബിറ്റ്	ബിറ്റ്
Mb	മെഗാബിറ്റ്	മെഗാബിറ്റ്
B	ബൈറ്റ്	ബൈറ്റ്
KB	കിലോബൈറ്റ്	കിലോബൈറ്റ്
MB	മെഗാബൈറ്റ്	മെഗാബൈറ്റ്
GB	ഗിഗാബൈറ്റ്	ഗിഗാബൈറ്റ്
TB	ടെറാബൈറ്റ്	ടെറാബൈറ്റ്
PB	പെറ്റാബൈറ്റ്	പെറ്റാബൈറ്റ്
s	സെക്കൻഡ്	സെക്കൻഡ്
sec	സെക്കൻഡ്	സെക്കൻഡ്
ms	മില്ലിസെക്കൻഡ്	മില്ലിസെക്കൻഡ്
min	മിനിറ്റ്	മിനിറ്റ്
h	മണിക്കൂർ	മണിക്കൂർ
hr	മണിക്കൂർ	മണിക്കൂർ
hrs	മണിക്കൂർ	മണിക്കൂർ
d	ദിവസം	ദിവസം
yr	വർഷം	വർഷം
yrs	വർഷം	വർഷം
month	മാസം	മാസം
months	മാസം	മാസം
doz	ഡസൻ	ഡസൻ
ct	കാരറ്റ്	കാരറ്റ്
pH	പിഎച്ച്	പിഎച്ച്
km/h	കിലോമീറ്റർ പ്രതി മണിക്കൂർ	കിലോമീറ്റർ പ്രതി മണിക്കൂർ
km/hr	കിലോമീറ്റർ പ്രതി മണിക്കൂർ	കിലോമീറ്റർ പ്രതി മണിക്കൂർ
kmph	കിലോമീറ്റർ പ്രതി മണിക്കൂർ	കിലോമീറ്റർ പ്രതി മണിക്കൂർ
m/s	മീറ്റർ പ്രതി സെക്കൻഡ്	മീറ്റർ പ്രതി സെക്കൻഡ്
mi/h	മൈൽ പ്രതി മണിക്കൂർ	മൈൽ പ്രതി മണിക്കൂർ
mph	മൈൽ പ്രതി മണിക്കൂർ	മൈൽ പ്രതി മണിക്കൂർ
x	ഇരട്ടി	ഇരട്ടി
X	ഇരട്ടി	ഇരട്ടി
*	ഇരട്ടി	ഇരട്ടി
%	ശതമാനം	ശതമാനം
കി.മീ.	കിലോമീറ്റർ	കിലോമീറ്റർ
കി.മീ	കിലോമീറ്റർ	കിലോമീറ്റർ
മീ.	മീറ്റർ	മീറ്റർ
മീ	മീറ്റർ	മീറ്റർ
സെ.മീ.	സെന്റിമീറ്റർ	സെന്റിമീറ്റർ
സെ.മീ	സെന്റിമീറ്റർ	സെന്റിമീറ്റർ
മി.മീ.	മില്ലിമീറ്റർ	മില്ലിമീറ്റർ
മി.മീ	മില്ലിമീറ്റർ	മില്ലിമീറ്റർ
കി.ഗ്രാം.	കിലോഗ്രാം	കിലോഗ്രാം
കി.ഗ്രാം	കിലോഗ്രാം	കിലോഗ്രാം
ഗ്രാം.	ഗ്രാം	ഗ്രാം
ലി.	ലിറ്റർ	ലിറ്റർ
ലി	ലിറ്റർ	ലിറ്റർ
മി.ലി.	മില്ലിലിറ്റർ	മില്ലിലിറ്റർ
മി.ലി	മില്ലിലിറ്റർ	മില്ലിലിറ്റർ
കി.മീ/മ	കിലോമീറ്റർ പ്രതി മണിക്കൂർ	കിലോമീറ്റർ പ്രതി മണിക്കൂർ
ച.അ.	ചതുരശ്ര അടി	ചതുരശ്ര അടി
ച.കി.മീ.	ചതുരശ്ര കിലോമീറ്റർ	ചതുരശ്ര കിലോമീറ്റർ
സെ.	സെക്കൻഡ്	സെക്കൻഡ്
മി.	മിനിറ്റ്	മിനിറ്റ്
മ.	മണിക്കൂർ	മണിക്കൂർ
